Class Name,Short Description,Long Description,Professor,Area,Keywords,Skills,No of Credits,Core,Offered,Image
Puppets and Performing Objects,,"While grocery shopping, have you ever wanted to talk to a cucumber? Encounter a red radish or pet a pizza? You can. Puppets are everywhere and highly effective for bringing impossible ideas into reality. Following the idea that puppets are ""any performing object"" and that objects can be useful as stand-ins for human beings, this hands-on puppet building course explores anthropomorphism, character development, narrative and performance. Through weekly assignments and a final project, we will bring life to objects that we create, transform or find. Drawing inspiration from different styles of mainstream and avante-garde art, music, entertainment and puppetry we will develop original concepts of our own. Exercises explore a range of technologies and materials, from simple sock puppets to marionettes and shadow puppets, to hand puppets and body puppets, to abstract and kinetic objects. We'll spend time looking at how to successfully integrate interactive elements from other realms such as music, special effects, physical interfaces, lighting, video and more into our performances. Every week we perform, with the class culminating in a final public performance bringing together the best of student work.",Ithai Benjamin,Performance,,,4,,Fall,
Acting and Devising Stories in Performance,,"This course was previously titled Advanced Acting: Realism and Beyond, and cannot be repeated.
This next level acting course turns traditional, realistic scene study on its head. We begin with the essentials: digging into the skills for building precise, emotionally connected, intelligently crafted, character-specific, and theatrically articulate performance inside a realistic context. We then use those skills as a springboard to invent new ways of building a compelling narrative through forms of multi-media and devised storytelling. In this course students explore and expand their understanding of “what is character?” And, who’s telling the story and why and how are they telling it? This course is a laboratory for constructing, deconstructing and reconstructing narrative – a place to turn the story on its head to see what new story we can make. Students will engage in studio exercises to build clear skills in acting technique and stage composition and practice with various forms of crafting theatrical stories. In addition, students are expected to analyze, rehearse, and perform one short, realistic two-person scene, create a solo devised piece, and participate in ensemble-devised, multi-media performance pieces for a final showing at the conclusion of the semester. Students are also required to complete a detailed character/script analysis to support their exploration of the journey from realistic theatre
to expanded forms of theatrical/performative storytelling.  This is a next level performance class; students must have successfully completed Acting I, Performance Practice or have equivalent experience in performance coursework to register for the class.",Mary Bitel,Performance,,,4,,Spring,
Performing Anatomy: Body Technology,,"In Performing Anatomy: Body Technology, students will experiment with human anatomy as technology. We will begin this process by practicing movement phrases that survey the design of our anatomy. In this case, anatomical design refers to the muscular, skeletal, and proprioceptive systems that stabilize us. We will then build onto this knowledge through investigations in biomechanics like motion, force, momentum, and balance. Our physical practice in the studio will be supplemented by reviewing images, texts, sound and video as reference material. Students will periodically produce short studies across forms of media wherein they are tasked to translate the anatomical information learned into original compositions. These multidisciplinary studies finalize each module and are presented in a final performance.",Jonathan Gonzalez,Performance,,,4,,Spring,
Site­ Specific to Immersive Dance Theater,,"How does one design a dance of illusion? Create interactive storytelling and experiential worlds? What is the process of building virtual dances for new technologies and online audiences? Site-Specific to Immersive Dance Theater: Choreographing for Unconventional Formats and Spaces (Tisch Collaborative Arts & Open Arts) is a research-to-practice course reconsidering the function, philosophy, and reality of an evolving stage. Not only is New York City a conduit for local to international dance and theater, but it is also a safe space for artists to resist the norm and re-imagine models for making.
Students will delve into physical world-making for both fantasy and non-fiction narratives. Additionally, students will have the opportunity to study the history and strategies for site-specific dance as a model for social change – given hands-on opportunities to experience the roles and responsibilities of choreographer as activist and historian. Through course exercises, students will build their own body of work ranging from dances for intimate home spaces to renowned public and digital sites. Past experience in movement and/or performance training is not required.",TBD,Performance,,,2,,Spring,
Advanced Acting for the Camera,,"This studio intensive on-camera performance workshop is designed for multidisciplinary artists who want to strengthen skills specifically for acting on camera. The act of being filmed every class gives actors and performers more confidence and prepares them for working in professional settings. Class projects allow for interdisciplinary work incorporating writing, directing, music, animation, and visual arts. Actors work to develop and expand their individual set of acting techniques and technical skills that work best on screen to create specificity in ""moment-to-moment being,"" all of which expands the understanding of the actor’s role in visual storytelling. Students perform analyzed scripted scenes, “cold” reads, and improvize unscripted on-camera exercises. Equal time and energy in this workshop is dedicated to creating new work with two projects: Bio-Pic project, and  Fusion Short. The Bio-Pic project is a deep dive into character with each actor choosing a real person they identify with to research, curate, improv, write and portray in short scenes with acting and design support from other students. Fusion Short is a devised short film project.  Production teams will develop and film group generated scripts. For each Fusion Short, everyone acts (cameo, supporting or lead) and takes the lead on the creative production team as head writer, director, production design, director of photography. The short is open for fusion: creators may want to interweave other art forms (dance, design elements, music, digital art, etc) into the narrative. ",Kate Baggott ,Performance,,,4,,Spring,
Modern Dance II: Mind-Body Integration,,"This course is a level II in dance practice designed for a student with an intermediate level of familiarity and experience with Modern dance. It further improves on the physical training offered in Modern Dance I, but is not predicated on previous enrollment in that class. The class focuses on the physical articulation of various movement vocabularies, collaborative exploration of partnering, and ongoing in-class discussion to deepen the connection of self-awareness through learning and executing movement. Each class will involve set choreographic material as well as improvisation practice as teaching tools to deeply inform movement training with intention, efficiency and artistry. Students will be encouraged to pay close attention to their own movement learning experience instead of focusing on replicating the movement they learn. Movement material will include floor work, traveling, balancing, jumping, turning and will be shaped by these principles. Previous modern, contemporary or equivalent experience is required.",Kate Fisher,Performance,,,2,,Fall,
The Collaborative Arts Theatre Experience,,"We will use the semester to concoct, then create, then perform a finished theater production. The semester will use the first 7 weeks to write the play—assigning scenes to be created by solo student playwrights, but also devising material collaboratively in pairs and larger groups. We may also choose to combine our original work with already-existing texts, adapt/deconstruct a classic play, incorporate interview material, etc. The second 7 weeks will be comprised of the rehearsal, tech and the final performance. Students eager to wear many different hats (designer, playwright, technician, composer) are encouraged to enroll—though everyone will be cast as performers. The culmination of our efforts will be a play to be staged and performed before an audience.",Steven Drukman,Performance,,,4,,Spring,
Devised Theatre: History and Practice,,"This intensive focuses on both historic evolution of ritual-based/early theater models through contemporary theater philosophies (accentuating history of Futurist/Dada theater innovations to present), and on anatomizing the nature of performer, performance, story and storytelling via the non-traditional philosophies and methods of contemporary experimental theater. The class will be rigorously participatory in terms of discussing/physicalizing these experimental methods and will culminate in the creation and performance of simple class collaboration-generated stage narratives. Students will investigate the meaning and application of physical/environmental ’neutrality’ on stage as they simultaneously investigate and define for themselves the most essential markers needed for the viewer to perceive ‘story’ in performance. As the staged pieces are constructed from these anatomized building blocks of performance and story, more complex qualities of character, identity, archetype, mannerism, linguistic disfluencies (verbal and non-verbal) and psychological subtext will be introduced as tools for each performer’s role in the story. In the final phases of piece creation, simple analog elements of music, sound, light, mask, craft materials, dance, virtuosic/specialized skill, props will be introduced as tools. The final performance will aspire to clear and effective applications of the performance/story elements discussed (or discovered) in class. Techniques and exercises derived from the worlds of Futurism/Dada, Richard Maxwell, Blue Man Group, Elevator Repair Service, Ann Bogart, Joshua Fried, and others will be discussed and employed.",Pete Simpson,Performance,,,1,,Fall/Spring,
Choreography,,"The purpose of this course is to enable the student to gain a heightened awareness, appreciation, and knowledge of dance through movement and performance. We focus on the foundations of dance such as control, aesthetics, alignment, dynamics, athleticism, musicality, use of space, development of learning strategies within a group context, and personal, artistic expression.  The students' exploration of their creativity, expression and concepts, as well as their work on other dancer's bodies is part of the work of this course. Through individual and collective kinesthetic participation in unfamiliar patterns, the student is physically and conceptually challenged and informed. Students will be asked to problem solve as homework assignment and in-class composition exercises. Dance experience is recommended, but formal dance training is not required.",Kyle Marshall ,Performance,,,2,,Fall/Spring,
Dream Play,,"The dreamer is at once the author, the actor, and the audience for a performance that takes place while the dreamer is unconscious. Whether regarded as omens, as products of our unconscious wishes, or as our brain’s way of cleaning up memory space, dreams are an undeniable component of the human experience, and, in addition to generating many theories, they have also served as inspiration for artists searching for a direct route to the unconscious. This class is an investigation of dreams as a springboard for art. At once theoretical and practical, the class will begin by examining the main theories regarding dreams, ranging from Freud and Jung, who pioneered psychological interpretations of dreams, to the more scientific research of the later 20th century, wherein dreams are seen more neurologically, as a way for the brain to process and sort information. After laying in the theoretical foundation, the class will focus mainly on a succession of dream performances inspired by the dreams of class participants. While dreams are experienced by the individual dreamer, these projects will all be collaborative, and involve working in groups of 3 or 4. Each will be staged in three-dimensional space in real time, and endeavor to create the dream experience for the audience. All should be multidisciplinary in nature, containing elements of theater, sound, visual art, video, and other emerging technologies. Throughout the term, we will screen movies (which in themselves have provoked theories that liken the experience of watching a film to that of dreaming) and look at images from art-history inspired by dreams. We will also investigate games that use dream content as their governing narrative engine. This will enable us to appreciate the wide range of strategies that artists have used when making art based on dreams – from using dreams to explore the non-linear logic of the individual’s unconscious (as in the surrealists), to the more communal dream experience of modern trauma (as in El Abrazo de la Serpiente). This wide range of inspiration should act as a model for our explorations as we create our own dream plays.",Fritz Ertl,Performance,,,2,,NEW FALL 2023,
Hyperreal Spectacle in Interactive Performance,,"French philosopher Jean Baudrillard proposes the concept of hyperreality as the condition in which human consciousness struggles to discern between actual reality and simulations of reality, particularly within societies that are deeply influenced by advanced technology. In the 21st century, hyperreality has become ubiquitous in mediated life, as society becomes more intertwined with social media, virtual and digital environments, and performance spaces. In this course students will engage in the aesthetics and theories of hyperreality in order to create a performative happening that reflects on the embodied experience of contemporary life. Through collaborative research, students will integrate choreography, improvisation, technology, and visual elements to craft an immersive experience that collapses boundaries between performers and audiences. Students will be encouraged to explore experimental compositional strategies where communication unfolds across screens, through bodies, and within designed environments by employing digital performance and mixed reality techniques. Potential tools and techniques which may be utilized include artistry in real time technology, live streaming in performance, motion capture, machine learning, TouchDesigner and wearable technology. This class will include critical discussions and hands-on workshops during which students will refine their artistic vision. Participants are invited to devise an interdisciplinary performance practice in order to bring their installations into being. By engaging in this course, students will gain practical experience in creating and producing interactive installations activated by performance, aiming to create transformative projects where reality and the contemporary imagination converge.",Kate Fisher ,Performance,,,4,,NEW SPRING 2024,
Chorecinema and the Expanding Eye,,"In the 1940s, Maya Deren, a trailblazer in choreography, dance, and experimental filmmaking, pioneered the groundbreaking concept of ""choreocinema"": a genre merging dynamic camera movement with dance. In 1970, media artist Gene Youngblood, penned the influential work ""Expanded Cinema""--exemplified by Andy Warhol's Exploding Plastic Inevitable, a revolutionary multimedia performance project melding live rock music and avant-garde film Projections. Today, contemporary artists like Jacolby Satterwhite carry forward this legacy, amalgamating choreocinema and expanded cinema through mediums such as performance, motion capture, and digital animation, to forge immersive installations. Their work resonates with our present era, marked by the ubiquitous presence of screens that have profoundly redefined our perception of reality, corporeal existence, and digital identities. ""Choreocinema and the Expanding Eye"" offers an immersive exploration of dance film, media installation and live performance using the interplay of time, space, movement and the human body. It introduces the concept of multi-channel installation, inviting students to design participatory multi-sensory environments that are nonlinear, experiential, and activated by live performance. Using digital tools and software, students will explore the art of “dancing for computers'', capturing and transforming choreographed and improvised movement into media projects, as well as choreographing and directing their peers. Students will also orchestrate 'happenings' that blend digital media with real-time artistic expression incorporating spatial and sound design. By the course's conclusion, students will have a strong grasp of the core principles of Choreocinema and the ability to navigate the evolving landscape of contemporary digital media as it pertains to the proliferation of screens around us. Formal training or experience as a director, choreographer, editor, cinematographer, creative technologist, dancer, performer, editor or producer are not required.",Kate Fisher ,Performance,,,4,,NEW SPRING 2024,
Improvising Sound and Music,,"This course is about successfully illuminating some of the formal, contextual, cultural, and social dimensions of Experimental performance vis-à-vis the critical study/practice of improvising. Because the professor believes that improvisation presents itself as a non-hierarchical (ideally), process-oriented practice, that claims no victories and is rooted in a listening self, the class will construct this course together as an ensemble; an open, unpretentious and wholly democratic approach will carry us into our 15-week experimentation.
",Gustavo Aguilar,Music/Sound,,,4,,Spring,
Handmade Music,,"Design, build, practice, perform, record, recycle, repeat. In this fabrication-heavy course, students will create new musical instruments and toys that can be performed and manipulated by humans, machines, animals and the supernatural. We will experiment with shapes, materials, and analog/digital technologies to create new instruments that defy common sense, yet are visually beautiful and sonically adventurous. Our main sources of inspiration will be the industrial revolution, punk subculture, soap operas, cartoons, Fluxus, the universe, and New York City. Our goal will be to devise musical instruments that can be mastered but also played without skill or music education. We will learn how to utilize various building tools and techniques such as 3D modelling and printing, Shop power tools and laser cutting. In each weekly iteration, students will compose, record and perform original music with their instruments, sometimes as an ensemble. The semester will end with an exhibition featuring our instruments and sheet music, with a final performance for a live audience.",Rich Perello and Sharon Badal ,Music/Sound,,,4,,Occasionally ,
Music Studio Machines,,,Ithai Benjamin,Music/Sound,,,2,,Occasionally ,
Contemporary Music Applications,,"Contemporary music applications is an intermediate music production and computer music class. The course will encourage a creative approach to using recording software as a tool that can be applied to music making for a wide range of interdisciplinary practices. Students will be introduced to mixing, sound design, advanced audio/MIDI editing, and production techniques for composing music. It will explore concepts and questions such as how does sound re/de/contextualize an image and how are dynamics created through mixing and effects processing? This class will encourage students to step outside of their musical comfort zones to further their technical skills in composing and producing music with software.

",Rosana Caban,Music/Sound,,,4,,Fall,
Audio Storytelling: Creative Nonfiction,,"Through groundbreaking and creative nonfiction programs like S-Town, Have You Heard George’s Podcast?, and Radiolab, podcasting has taken hold in American culture over the last decade, having evolved into its own unique art form. This innovative medium is not bound by the limitations of traditional radio — podcasts can be heard anywhere in the world, produced in any language, and be of any length. In this course, students will learn how to embrace their unique voices as they produce compelling nonfiction stories solely in sound. Students will learn how to record, edit, and workshop audio stories, write for the ear and record narration, effectively employ music and sound design, and distribute a self-produced podcast.",Rosana Caban,Music/Sound,,,4,,Spring,
Musical Theatre Writing Workshop,,"This is a team-taught workshop that encourages you to find your own voice and learn to merge your unique artistic vision with those of other collaborative artists to create exciting new musical theater. The course will start by covering the basics of songwriting for the theater, but it is not a music theory class; we’ll be focusing more on using music to tell stories than on compositional techniques. Together we’ll examine theater songwriting craft, issues of communication between artists of different disciplines, and storytelling through music and text. Poets, playwrights, and writers from other genres, and composers from a wide variety of stylistic backgrounds ranging from pop to classical, country to hip-hop, rap to jazz to fusion—all are welcome to participate, regardless of experience or lack thereof. We aim to create a supportive environment in which you feel free to experiment and to explore both what musical theater has been and what it can become. Note: most of your homework will be done in collaboration with one or more of your classmates, so expect to spend a significant amount of time working with others.",Kirsten Childs and Joel Derfner,Music/Sound,,,4,,Fall/Spring,
Composing Music with MAX,,"The foundations of Max, a powerful visual programming language for music and multimedia, will be covered in this course. We will examine how computers can be utilized to create situations for music creation, performance, and collaborative improvisation as well as applied to building interactive, generative music. In addition to learning Max's fundamental building blocks, we will also use fundamental music theory as a tool to better understand music making. We will create programs that examine rhythm, melodies, chords, scales, and recognize other qualities of music like timbre, texture, and dynamics while taking into consideration the principles of harmony, melody, and rhythm defined in basic music theory. The final will require you to develop a collaborative piece of interactive computer music, a collaborative performance environment, or another final project that has been discussed and agreed upon together. This class does not require any prerequisite programming skills or prior music theory knowledge.",Gustavo Aguilar,Music/Sound,,,4,,NEW FALL 2023,
Unruly Images,,"This course explores unruly images, bodies, faces, spaces, aesthetics, and even feelings that exist at the margins of categorization, making these powerful subjects for artistic work. We will manipulate image-making tools and give form to expressions that reveal the hidden structures of power. Through lectures, discussions, workshops, and readings, we will look at topics such as memes and glitch art, cyberface and AR filters, monsters and glitched bodies, uncanny valley and AI images, as well as liminal space and collaborative world-building. We will pay particular attention to selected writings from Hito Steyerl, Legacy Russell, Rosa Menkman, and Adam Greenfield, and apply these critiques to emerging perceptual technologies (volumetric 3D capturing, machine learning, AR/VR, web-based 3D game engines) that students will use to create their projects.",Rosalie Yu ,Emerging Media & Tech,,,4,,Fall/Spring,
IRL/URL: Performing Hybrid Systems,,"This course is a unique collaboration between the Collaborative Arts and IMA Tisch departments, and CultureHub based at La Mama. During the pandemic many performing artists moved their work online, leading to an increasing acceptance of experimental practices that their predecessors developed in online work for the past 30 years. In IRL/URL_Performing Hybrid Systems, students will have the opportunity to design, prototype, and present collaborative projects that build on this tradition, blending both physical and virtual elements. Over the course of the semester, students will have the opportunity to study at La MaMa's CultureHub studio where they will be introduced to video, lighting, sound, and cueing systems. In addition, students will learn creative coding fundamentals allowing them to network multiple softwares and devices generating real-time feedback systems. The class will culminate with a final showing that will be presented online and broadcast from the CultureHub studio.",Tiri Kananuruk,Emerging Media & Tech,,,4,,Spring,
Art and Technology,,"All art uses technology. Technology is not art. Whether a work of art is created to bridge the supernatural, convey experience, thought, or a world view, or something more, art is a three letter verb representing the result of an individual’s desire to create difference. This course is a crash course into contemporary technological literacy for all NYU students interested in expanding their range of artistic mediums, often using the history of art and technology as a point of reference. Prior knowledge of covered subject matter is not required, but would create an opportunity for deeper exploration by the student and enhance the classroom experience for others. ",Peter Terezakis,Emerging Media & Tech,,,4,,Fall,
Electronics for Artists,,"This hands-on entry level electronics course is for students who want to invent, test, break, imagine, burn, surprise and build unusual interactive objects and devices that have never existed before. You don’t have to be an electrical engineer to be able to hack power and twist it for your own wild experiments. No matter what art/performance mediums you use in your creative practice, there are so many playful and cutting-edge ways to augment your craft with connected devices and computer-assisted fabrication. Some example projects include: interactive installations, moving sculptures, wearable devices for fashion, dynamic lighting, and DIY music devices. The course goes over the basics of electronic circuits and coding for Arduino — programmable micro-computers that process inputs from buttons, biofeedback sensors, and microphones and translate them into outputs expressed through LED lights, sounds, motors, and relays. We use laser cutters, 3D printers, woodworking tools, and sewing machines to assist us, and learn the best practices of creating robust circuits through soldering, component selection, and power supply. Each week we look to contemporary hardware artists for inspiration and use our classmates to test and analyze our prototypes, getting feedback on not just the practical design of the circuits and mechanisms, but the feelings, ideas, and creative effects our connected art elicits. No prior coding, hardware, or fabrication experience necessary, but time and dedication is — most projects will require out-of-class time spent in the shop. Students will need a laptop, but basic hardware and materials will be provided.",August Luhrs ,Emerging Media & Tech,,,4,,Occasionally ,
Performing Voice and Talking Machines,,"This course will introduce students to technologies for speech synthesis and speech recognition from the point of view of performance art. Through weekly assignments and in class lectures, we will explore voice interfaces and their role in technology, design, art, and culture. We will begin with understanding human speech, and then delve into computer speech. We will learn how to program existing technologies such as p5.js to create our own talking machines. The class will research the current limitations and biases of these technologies and models, and respond by leveraging these constraints as ground for performative expression. Students will be required to develop a performative piece as their final project, this could be a live performance, an interactive installation piece, or a performative object or tool. Students are encouraged to bring their interests into the classroom and apply the course into their practice. Prior knowledge of computer programming will be helpful, however, it is not required. NYU is a global community. You are welcome to bring your own language, your accent, and your spoken identity into the class.",Tiri Kananuruk,Emerging Media & Tech,,,4,,Occasionally ,
Occupy Outer Space,,"Technology is a weasel. Squeezing its way into art, culture and the everyday. It infiltrates our psyche, inspiring playful interactions, fantastical ideas, vengeance and drama. It brings us together while tearing us apart. In this project-based studio, we will focus on a collective approach to creating art, tools, performances, and experiences. Outer Space in the context of this course will be used as a metaphor for the future, the unknown, and the seemingly impossible. We will investigate disparate cultural moments and unravel narratives that are both historical and technological. Technology will serve as a structure with open-ended assignments in music, video, sculpture, electronics, kineticism, surveillance, interactive graphics, and performance. Combined collaborative exercises and individual projects will augment classroom discussions and inform the art that we make. A willingness to use your imagination and personal experience to derail preconceived notions of linear timelines will serve you well in this hands-on multidisciplinary course.",,Emerging Media & Tech,,,4,,Occasionally ,
