Course,Professor,Area,Credits,Semester,Keywords,Short,Long,Media,Credit,Media,Credit,Media,Credit
Choreography,Patricia Hoffbauer,MOVEMENT,2,Fall/Spring,,,"The purpose of this course is to enable the student to gain a heightened awareness, appreciation, and knowledge of dance through movement and performance. We focus on the foundations of dance such as control, aesthetics, alignment, dynamics, athleticism, musicality, use of space, development of learning strategies within a group context, and personal, artistic expression.  The students' exploration of their creativity, expression and concepts, as well as their work on other dancer's bodies is part of the work of this course. Through individual and collective kinesthetic participation in unfamiliar patterns, the student is physically and conceptually challenged and informed. Students will be asked to problem solve as homework assignment and in-class composition exercises. Dance experience is recommended, but formal dance training is not required.",,,,,,
Cinematic Narratives,Bill Tunnicliffe and Rebecca Haimowitz,CORE,UNKNOWN,Fall,"critical making,design,film/video,music/sound,movement,visual art,collaboration,live performance","Exploring photography, storyboards, stop-motion animation, silent films, documentaries, and narrative films, this course examines the collision of visual images to create new meaning. Students write, direct, and act in several short film and photo projects and they gain fluency in cinematic storytelling as they work hands-on with cinematography, sound recording, lighting, and editing.","Filmmaking, photography, and the basics of visual imagery are explored through a hands-on studio art experience, which provides an overview of the development of visual storytelling throughout history. From the first creation of early hand drawn cave paintings to modern film production, the essential elements of visual representation, visual imagery, visual grammar, and visual narrative are explored. Lectures introduce and explain a variety of methods used to capture a visual image and how imagery, both with and without words, is used to convey meaning. In class painting, etching, drawing, film, and photo assignments are given for students to create their own visual imagery, using these several different artistic formats. Technical training on cameras and editing software accompanies these practical assignments. Students also complete photo and short film projects throughout the course, as they explore the essential nature of visual storytelling, pre-visualization, and practical production. The course examines how the basic tools of traditional narrative storytelling are also used in purely visual storytelling - to create a secondary world and to maintain a suspension of disbelief in order to inform, entertain, and affect the audience.",https://drive.google.com/open?id=10nUzF0DoF3tQhLDqe2zvoCTPI2l7KgmZ,"THE PERFECT LIFE FOR ME - Phia Black, Bonbon Chen, Jojo Wren, Hana Margesson",,,,
Collaborative Screenwriting: Writers’ Room,Anthony Weintraub,WRITING,4,Spring,,,"Always thought you had that perfect concept for a streaming TV show? Curious about what makes those shows tick, and to see if you have what it takes to collaborate on a show that works? Focused on the development of the half-hour streaming ‘prestige' TV series, Writers’ Room is an Intermediate and Collaborative TV Screenwriting class that addresses the latest forms of shows that sell, on the platforms that dominate the market. Shows like The Mandalorian, Ted Lasso and The Bear are 'binge-worthy' because along with dynamic stand-alone episodes they present connected dramatic arcs stretching over seasons. Often these shows are developed with multiple writers, in a format known as the 'Writers’ Room.' Along with conceptualizing a show, the class is intended as a practicum in collaboration, modeling the Writers Room to prepare the future screenwriter for one of the central forms of commercial storytelling. In this class we will cover what it actually takes to break into TV writing and create a roadmap to developing not only a great TV episode but conceptualizing its entire first season. What will sell great show? Great premises, fulsome outlines, dynamic pitches, engaging decks, etc. Next: how to 'break' episodes and build provocative story arcs? Students will emerge with a group-conceptualized deck for an original show as well as that show’s original pilot--all done in the form of a structured workshop environment, with the last half of the class modeling the writers room. Our main texts are current shows that fit within this context and we will 'visit' at least one actual writers room for real world experience. Note: this is a rigorous, collaborative class that requires significant out-of-class meetups with your group colleagues, so please be aware of the time commitment.",,,,,,
Composing Music with MAX,Gustavo Aguilar,SOUND,4,Fall,"art studio,coding,critical making,critical thinking,live performance,music/sound","Max, a powerful visual programming language for music and multimedia, will be covered in this course. We will examine how computers can be utilized to create situations for music creation, performance, and collaborative improvisation as well as applied to building interactive, generative music. The final will require you to develop a collaborative piece of interactive computer music, a collaborative performance environment, or another final project that has been discussed and agreed upon together.","The foundations of Max, a powerful visual programming language for music and multimedia, will be covered in this course. We will examine how computers can be utilized to create situations for music creation, performance, and collaborative improvisation as well as applied to building interactive, generative music. In addition to learning Max's fundamental building blocks, we will also use fundamental music theory as a tool to better understand music making. We will create programs that examine rhythm, melodies, chords, scales, and recognize other qualities of music like timbre, texture, and dynamics while taking into consideration the principles of harmony, melody, and rhythm defined in basic music theory. The final will require you to develop a collaborative piece of interactive computer music, a collaborative performance environment, or another final project that has been discussed and agreed upon together. This class does not require any prerequisite programming skills or prior music theory knowledge.",https://drive.google.com/open?id=1RZ3tn1ymtBIn0Z5C-or9ir5jc5svyBKa,Video Synthesizer Sequencer,,,,
Contemporary Music Applications,Ithai Benjamin,SOUND,4,Fall,,,"Contemporary music applications is an intermediate music production and computer music class. The course will encourage a creative approach to using recording software as a tool that can be applied to music making for a wide range of interdisciplinary practices. Students will be introduced to mixing, sound design, advanced audio/MIDI editing, and production techniques for composing music. It will explore concepts and questions such as how does sound re/de/contextualize an image and how are dynamics created through mixing and effects processing? This class will encourage students to step outside of their musical comfort zones to further their technical skills in composing and producing music with software.

",,,,,,
Dancing Body in Practice and Theory,Pat Hoffbaue,MOVEMENT,4,Spring,"critical thinking,film/video,guest artists,live performance,visual art","Deep Dive into the history of live, filmed performances, this course focuses on iconic visual and performance artworks to explore what it means to produce relevant performance work today. Guest artists, film viewing, assigned readings, and field trips to galleries and performances.","Part studio and part seminar, The Dancing Body focuses on the practice and history of movement and choreography in the context of Modern Dance and Performance Art in the second half of the 20th century. Though the exploration of ideas in cultural studies/dance studies essays, reviews, and writings by dance artists, students will engage with a range of physical activities and conceptual performances in practice and theory. This course offers a unique opportunity for students to simultaneously pursue creative/physical practices while exploring the intellectual discourse that informs them. The goal of this class is to generate an artistic environment where students develop collaborative relationships throughout the creative process individually as well as collectively.",https://drive.google.com/open?id=1xq8d0ve95YGll9mv3srUGq3ThDCAum3d,Mira Solomon's Rite of Spring.,,,,
Designing Motion,Ithai Benjamin,IMAGE,4,Fall,,," In this course, we will explore the versatile usage of animation in the world of graphic design as a unique form of expression. We will examine how motion design combines movement, rhythm, space, and timing to orchestrate abstract shapes, words, and symbols. Through a series of weekly exercises, students will gain an understanding of key concepts in motion design while using and learning Adobe After Effects. We will follow the footsteps of motion design history, reconstructing classic pieces in order to gain a fundamental understanding of this art form. We will learn how graphic design, music, choreography, and acting can all be applied to the motion of design elements and furthermore, how the combination of animation and design can convey compelling stories, emotions, and ideas. Students will survey the technologies and methods that enabled the fields’ developments - from drawing on 18 mm film, the analog Scanimate in the 80s, to UX motion, interactive design, and contemporary live performances. Inspired by those traditions, students will be encouraged to take on an experimental approach, discuss thought processes, and develop their own visual language while combining interdisciplinary practices. 
*Adobe After Effects will be used as a main tool in the course, therefore a sufficient computer (over 16GB of RAM and a graphic card) is required.",,,,,,
Devised Theatre: History and Practice,Pete Simpson,ACTING,1,Fall/Spring,"acting,critical making,live performance,theater","A 32-hour immersive done over the course of four action-packed days involving a multimedia lecture about the origins and inspirations for 20th/21st century theater devising, threaded through with on-the-feet exploration of various devised theater/performance principles.  The four day exploration culminates with a performance of group-created pieces.","This intensive focuses on both historic evolution of ritual-based/early theater models through contemporary theater philosophies (accentuating history of Futurist/Dada theater innovations to present), and on anatomizing the nature of performer, performance, story and storytelling via the non-traditional philosophies and methods of contemporary experimental theater. The class will be rigorously participatory in terms of discussing/physicalizing these experimental methods and will culminate in the creation and performance of simple class collaboration-generated stage narratives. Students will investigate the meaning and application of physical/environmental ’neutrality’ on stage as they simultaneously investigate and define for themselves the most essential markers needed for the viewer to perceive ‘story’ in performance. As the staged pieces are constructed from these anatomized building blocks of performance and story, more complex qualities of character, identity, archetype, mannerism, linguistic disfluencies (verbal and non-verbal) and psychological subtext will be introduced as tools for each performer’s role in the story. In the final phases of piece creation, simple analog elements of music, sound, light, mask, craft materials, dance, virtuosic/specialized skill, props will be introduced as tools. The final performance will aspire to clear and effective applications of the performance/story elements discussed (or discovered) in class. Techniques and exercises derived from the worlds of Futurism/Dada, Richard Maxwell, Blue Man Group, Elevator Repair Service, Ann Bogart, Joshua Fried, and others will be discussed and employed.",https://drive.google.com/open?id=1M7z6IPJbILtfUa0RKIgHkbny5upKsXRG,An assigned devised theater 'methodology analysis' from a student; a performance piece overview from one of the collaborative groups (all students asked for anonymity),,,,
Digital Photography,Alan Winslow,IMAGE,UNKNOWN,Fall,,,"A camera is a powerful tool for capturing moments, expressing artistic visions, and documenting the environment around us. Most of us carry a camera in our pockets daily, but sometimes, merely pulling out our phone and snapping a photograph isn't enough. This course focuses on the technical and creative exploration of photography. We'll discuss understanding and controlling depth of field to manipulate focus area, mastering shutter speed to capture motion or freeze time, and color and composition theories to enhance viewer engagement with your work. The class will view and produce in various photographic processes, from portraiture and collage to pinhole and documentary styles. By examining the works of influential photographers and the medium's evolution, students will gain insight into photography as an art form. By the end, students will confidently navigate manual camera settings, edit images with Adobe Suite, and conceptualize projects that capture their vision. The tools and practices discussed in this class will help in the making of photographs and all visual art practices.",,,,,,
Dream Play,Fritz Ertl,ACTING,2,Fall,"acting,live performance,music/sound,research,theater","Dream Play: students learn how to harness the sub-conscious by staging dreams -- mostly their own dreams, but also ones logged on dream banks, and famous dreams discussed by theorists, such as Freud and Jung.  The final performance event is open to the public.","The dreamer is at once the author, the actor, and the audience for a performance that takes place while the dreamer is unconscious. Whether regarded as omens, as products of our unconscious wishes, or as our brain’s way of cleaning up memory space, dreams are an undeniable component of the human experience, and, in addition to generating many theories, they have also served as inspiration for artists searching for a direct route to the unconscious. This class is an investigation of dreams as a springboard for art. At once theoretical and practical, the class will begin by examining the main theories regarding dreams, ranging from Freud and Jung, who pioneered psychological interpretations of dreams, to the more scientific research of the later 20th century, wherein dreams are seen more neurologically, as a way for the brain to process and sort information. After laying in the theoretical foundation, the class will focus mainly on a succession of dream performances inspired by the dreams of class participants. While dreams are experienced by the individual dreamer, these projects will all be collaborative, and involve working in groups of 3 or 4. Each will be staged in three-dimensional space in real time, and endeavor to create the dream experience for the audience. All should be multidisciplinary in nature, containing elements of theater, sound, visual art, video, and other emerging technologies. Throughout the term, we will screen movies (which in themselves have provoked theories that liken the experience of watching a film to that of dreaming) and look at images from art-history inspired by dreams. We will also investigate games that use dream content as their governing narrative engine. This will enable us to appreciate the wide range of strategies that artists have used when making art based on dreams – from using dreams to explore the non-linear logic of the individual’s unconscious (as in the surrealists), to the more communal dream experience of modern trauma (as in El Abrazo de la Serpiente). This wide range of inspiration should act as a model for our explorations as we create our own dream plays.",https://drive.google.com/open?id=1VVJrWd4OByAGakbCOhxWIOg0Vw81O6gU,Youtube,,,,
Electronics for Artists,August Luhrs,TECHNOLOGY,4,Spring,"coding,electronics,fabrication,fashion/wearable,music/sound,visual art,design,interactive","Students learn the basics of creating art with electricity -- analog circuits that create music, light art that responds to motion or sound, motorized sculptures and animatronics, cyberpunk wearables and sewable circuitry, and more. The course involves prototyping, engineering, fabrication, performance, and coding for Arduino microcontrollers.","This hands-on entry level electronics course is for students who want to invent, test, break, imagine, burn, surprise and build unusual interactive objects and devices that have never existed before. You don’t have to be an electrical engineer to be able to hack power and twist it for your own wild experiments. No matter what art/performance mediums you use in your creative practice, there are so many playful and cutting-edge ways to augment your craft with connected devices and computer-assisted fabrication. Some example projects include: interactive installations, moving sculptures, wearable devices for fashion, dynamic lighting, and DIY music devices. The course goes over the basics of electronic circuits and coding for Arduino — programmable micro-computers that process inputs from buttons, biofeedback sensors, and microphones and translate them into outputs expressed through LED lights, sounds, motors, and relays. We use laser cutters, 3D printers, woodworking tools, and sewing machines to assist us, and learn the best practices of creating robust circuits through soldering, component selection, and power supply. Each week we look to contemporary hardware artists for inspiration and use our classmates to test and analyze our prototypes, getting feedback on not just the practical design of the circuits and mechanisms, but the feelings, ideas, and creative effects our connected art elicits. No prior coding, hardware, or fabrication experience necessary, but time and dedication is — most projects will require out-of-class time spent in the shop. Students will need a laptop, but basic hardware and materials will be provided.",https://drive.google.com/open?id=1aRJcEe_wslhOboDwnFCHHFvXSbZ8p-NQ,Ray Chen,,,,
Experimental RISO,Kelli Anderson,VISUAL ART,4,Fall,,,"The death of printed matter has been predicted for more than half a century. Meanwhile, artists have been busy continually proving that print media—and the nimble RISO, in particular—offers vital new possibilities for experimentation. With a capacity to layer pure spot color, like silkscreen, and output quickly, like digital processes, the Risograph duplicator has revolutionized visual culture over the past decade. RISO aesthetics have made their way into animation and film, into mainstream digital design culture, and has flooded independent art book publishing. Because the process engages and serves niche communities of artists, it has given voice to groups traditionally excluded from mainstream publishing. It is the machine largely responsible for the thriving, international small press movement, which challenges both the traditional scarcity-based economy of the art market, and the myth of the lone artist. Experimental RISO will take this spirit as a starting point, as our class works together as a small community to push the RISO into more experimental territory. We will explore a myriad of “off label” uses for RISO printmaking. We will design non-digital publications using exquisite corpse methods and learn how to translate film and animation into RISO. Avant-garde publishing has a long history of cutting through the so-called dichotomy between paper and electronics, so we will use conditional design “codes” to design programmatically. We will investigate the RISO’s potential to produce performance-based art—looking to Bruno Munari and Victorian Troublewit performance for possible inroads.",,,,,,
